ลำดับ,Username,ชื่อ-นามสกุล,วันเวลาที่เข้าสู่ระบบ,สถานะ,ช่องทาง
1,numberone,number one,18/07/2023 11:49:12,สำเร็จ,Portal สปส.
2,numberone,number one,18/07/2023 11:47:17,สำเร็จ,Portal สปส.
3,numberone,number one,18/07/2023 11:43:17,สำเร็จ,Portal สปส.
4,numberone,number one,18/07/2023 11:37:21,สำเร็จ,Portal สปส.
5,numberone,number one,18/07/2023 11:35:12,สำเร็จ,Portal สปส.
6,ggwp,man asdf1223,18/07/2023 11:34:06,สำเร็จ,Portal รพ.
7,numberone,number one,18/07/2023 11:33:44,สำเร็จ,Portal สปส.
8,numberone,number one,18/07/2023 11:32:20,สำเร็จ,Portal สปส.
9,24689.admin,ศุภกร อินฟ้าแสง,18/07/2023 11:31:00,สำเร็จ,Portal รพ.
10,24689.admin,ศุภกร อินฟ้าแสง,18/07/2023 11:27:40,สำเร็จ,Portal รพ.
11,numberone,number one,18/07/2023 11:27:13,สำเร็จ,Portal สปส.
12,ggwp,man asdf1223,18/07/2023 11:26:10,สำเร็จ,Portal รพ.
13,numberone,number one,18/07/2023 11:25:20,สำเร็จ,Portal สปส.
14,numberone,number one,18/07/2023 11:23:03,สำเร็จ,Portal สปส.
15,24689.admin,ศุภกร อินฟ้าแสง,18/07/2023 11:20:57,สำเร็จ,Portal รพ.
16,numberone,number one,18/07/2023 11:17:00,สำเร็จ,Portal สปส.
17,numberone,number one,18/07/2023 11:15:39,สำเร็จ,Portal สปส.
18,numberone,number one,18/07/2023 11:13:33,สำเร็จ,Portal สปส.
19,numberone,number one,18/07/2023 11:11:36,สำเร็จ,Portal สปส.
20,numberone,number one,18/07/2023 11:10:27,สำเร็จ,Portal สปส.
21,numberone,number one,18/07/2023 11:08:32,สำเร็จ,Portal สปส.
22,numberone,number one,18/07/2023 11:07:25,สำเร็จ,Portal สปส.
23,numberone,number one,18/07/2023 11:05:45,สำเร็จ,Portal สปส.
24,numberone,number one,18/07/2023 11:03:32,สำเร็จ,Portal สปส.
25,24689.admin,ศุภกร อินฟ้าแสง,18/07/2023 11:03:01,สำเร็จ,Portal รพ.
26,numberone,number one,18/07/2023 10:59:12,สำเร็จ,Portal สปส.
27,numberone,number one,18/07/2023 10:52:48,สำเร็จ,Portal สปส.
28,numberone,number one,18/07/2023 10:52:01,สำเร็จ,Portal สปส.
29,numberone,number one,18/07/2023 10:48:19,สำเร็จ,Portal สปส.
30,numberone,number one,18/07/2023 10:44:00,สำเร็จ,Portal สปส.
31,numberone,number one,18/07/2023 10:41:27,สำเร็จ,Portal สปส.
32,numberone,number one,18/07/2023 10:37:20,สำเร็จ,Portal สปส.
33,numberone,number one,18/07/2023 10:32:57,สำเร็จ,Portal สปส.
34,numberone,number one,18/07/2023 10:29:26,สำเร็จ,Portal สปส.
35,numberone,number one,18/07/2023 10:28:33,สำเร็จ,Portal สปส.
36,ggwp,man asdf1223,18/07/2023 10:25:14,สำเร็จ,Portal รพ.
37,numberone,number one,18/07/2023 10:23:51,สำเร็จ,Portal สปส.
38,numberone,number one,18/07/2023 10:23:46,สำเร็จ,Portal สปส.
39,numberone,number one,18/07/2023 10:22:39,สำเร็จ,Portal สปส.
40,numberone,number one,18/07/2023 10:14:23,สำเร็จ,Portal สปส.
41,numberone,number one,18/07/2023 10:09:57,สำเร็จ,Portal สปส.
42,numberone,number one,18/07/2023 10:04:45,สำเร็จ,Portal สปส.
43,numberone,number one,18/07/2023 10:03:22,สำเร็จ,Portal สปส.
44,numberone,number one,18/07/2023 10:03:14,สำเร็จ,Portal สปส.
45,numberone,number one,18/07/2023 10:02:45,สำเร็จ,Portal สปส.
46,numberone,number one,18/07/2023 10:00:20,สำเร็จ,Portal สปส.
47,numberone,number one,18/07/2023 09:59:44,สำเร็จ,Portal สปส.
48,numberone,number one,18/07/2023 09:58:45,สำเร็จ,Portal สปส.
49,ggwp,man asdf1223,18/07/2023 09:58:37,สำเร็จ,Portal รพ.
50,ggwp,man asdf1223,18/07/2023 09:57:12,สำเร็จ,Portal รพ.
51,numberone,number one,18/07/2023 09:56:53,สำเร็จ,Portal สปส.
52,24689.admin,ศุภกร อินฟ้าแสง,18/07/2023 09:56:48,สำเร็จ,Portal รพ.
53,numberone,number one,18/07/2023 09:54:45,สำเร็จ,Portal สปส.
54,numberone,number one,18/07/2023 09:48:43,สำเร็จ,Portal สปส.
55,numberone,number one,18/07/2023 09:48:43,สำเร็จ,Portal สปส.
56,ggwp,man asdf1223,18/07/2023 09:47:46,สำเร็จ,Portal รพ.
57,numberone,number one,18/07/2023 09:46:17,สำเร็จ,Portal สปส.
58,ggwp,man asdf1223,18/07/2023 09:43:42,สำเร็จ,Portal รพ.
59,numberone,number one,18/07/2023 09:42:11,สำเร็จ,Portal สปส.
60,24689.admin,ศุภกร อินฟ้าแสง,18/07/2023 09:41:09,สำเร็จ,Portal รพ.
61,numberone,number one,18/07/2023 09:40:12,สำเร็จ,Portal สปส.
62,numberone,number one,18/07/2023 09:39:35,สำเร็จ,Portal สปส.
63,24689.admin,ศุภกร อินฟ้าแสง,18/07/2023 09:38:11,สำเร็จ,Portal รพ.
64,numberone,number one,18/07/2023 09:34:39,สำเร็จ,Portal สปส.
65,numberone,number one,18/07/2023 09:28:29,สำเร็จ,Portal สปส.
66,24689.admin,ศุภกร อินฟ้าแสง,18/07/2023 09:28:00,สำเร็จ,Portal รพ.
67,24689.admin,ศุภกร อินฟ้าแสง,18/07/2023 09:25:19,สำเร็จ,Portal รพ.
68,ggwp,man asdf1223,18/07/2023 09:21:15,สำเร็จ,Portal รพ.
69,ggwp,man asdf1223,18/07/2023 09:20:58,สำเร็จ,Portal รพ.
70,ggwp,man asdf1223,18/07/2023 09:20:50,สำเร็จ,Portal รพ.
71,ggwp,man asdf1223,18/07/2023 09:19:46,สำเร็จ,Portal รพ.
72,ggwp,man asdf1223,18/07/2023 09:14:23,สำเร็จ,Portal รพ.
73,ggwp,man asdf1223,18/07/2023 09:13:19,สำเร็จ,Portal รพ.
74,ggwp,man asdf1223,18/07/2023 04:33:17,สำเร็จ,Portal รพ.
75,numberone,number one,18/07/2023 04:27:02,สำเร็จ,Portal สปส.
76,numberone,number one,18/07/2023 04:13:07,สำเร็จ,Portal สปส.
77,oper1,สมศรี ใจดี,18/07/2023 03:39:32,สำเร็จ,Portal รพ.
78,numberone,number one,18/07/2023 03:36:56,สำเร็จ,Portal สปส.
79,oper1,สมศรี ใจดี,18/07/2023 03:36:23,สำเร็จ,
80,oper1,สมศรี ใจดี,18/07/2023 03:23:00,สำเร็จ,Portal รพ.
81,ggwp,man asdf1223,18/07/2023 03:20:18,สำเร็จ,Portal รพ.
82,ggwp,man asdf1223,18/07/2023 03:15:30,สำเร็จ,Portal รพ.
83,oper1,สมศรี ใจดี,18/07/2023 03:13:04,สำเร็จ,Portal รพ.
84,numberone,number one,18/07/2023 02:45:57,สำเร็จ,Portal สปส.
85,numberone,number one,18/07/2023 02:37:46,สำเร็จ,Portal สปส.
86,ggwp,man asdf1223,18/07/2023 02:36:00,สำเร็จ,Portal รพ.
87,numberone,number one,18/07/2023 02:34:14,สำเร็จ,Portal สปส.
88,numberone,number one,18/07/2023 02:26:52,สำเร็จ,Portal สปส.
89,numberone,number one,18/07/2023 02:08:54,สำเร็จ,Portal สปส.
90,9999999.admin,superrrrrrr suckerrrrrr,18/07/2023 02:03:37,สำเร็จ,Portal รพ.
91,numberone,number one,18/07/2023 01:59:50,สำเร็จ,Portal สปส.
92,9999999.admin,superrrrrrr suckerrrrrr,18/07/2023 01:59:21,สำเร็จ,Portal รพ.
93,9999999.admin,superrrrrrr suckerrrrrr,18/07/2023 01:56:00,สำเร็จ,Portal รพ.
94,numberone,number one,18/07/2023 00:51:23,สำเร็จ,Portal สปส.
95,numberone,number one,18/07/2023 00:49:14,สำเร็จ,Portal สปส.
96,numberone,number one,18/07/2023 00:47:22,สำเร็จ,Portal สปส.
97,numberone,number one,18/07/2023 00:19:06,สำเร็จ,Portal สปส.
98,numberone,number one,18/07/2023 00:10:47,สำเร็จ,Portal สปส.
99,numberone,number one,18/07/2023 00:07:14,สำเร็จ,Portal สปส.
100,numberone,number one,18/07/2023 00:05:57,สำเร็จ,Portal สปส.
101,numberone,number one,18/07/2023 00:00:58,สำเร็จ,Portal สปส.
102,numberone,number one,17/07/2023 23:57:02,สำเร็จ,Portal สปส.
103,numberone,number one,17/07/2023 23:53:10,สำเร็จ,Portal สปส.
104,numberone,number one,17/07/2023 23:51:37,สำเร็จ,Portal สปส.
105,numberone,number one,17/07/2023 23:50:17,สำเร็จ,Portal สปส.
106,numberone,number one,17/07/2023 23:48:45,สำเร็จ,Portal สปส.
107,numberone,number one,17/07/2023 23:39:21,สำเร็จ,Portal สปส.
108,numberone,number one,17/07/2023 23:38:24,สำเร็จ,Portal สปส.
109,numberone,number one,17/07/2023 23:32:51,สำเร็จ,Portal สปส.
110,numberone,number one,17/07/2023 23:29:23,สำเร็จ,Portal สปส.
111,numberone,number one,17/07/2023 23:25:39,สำเร็จ,Portal สปส.
112,numberone,number one,17/07/2023 23:17:34,สำเร็จ,Portal สปส.
113,numberone,number one,17/07/2023 23:15:56,สำเร็จ,Portal สปส.
114,numberone,number one,17/07/2023 23:12:32,สำเร็จ,Portal สปส.
115,numberone,number one,17/07/2023 23:08:04,สำเร็จ,Portal สปส.
116,numberone,number one,17/07/2023 23:07:40,สำเร็จ,Portal สปส.
117,numberone,number one,17/07/2023 23:07:26,สำเร็จ,Portal สปส.
118,numberone,number one,17/07/2023 23:06:32,สำเร็จ,Portal สปส.
119,numberone,number one,17/07/2023 23:03:06,สำเร็จ,Portal สปส.
120,numberone,number one,17/07/2023 22:58:18,สำเร็จ,Portal สปส.
121,numberone,number one,17/07/2023 22:55:09,สำเร็จ,Portal สปส.
122,numberone,number one,17/07/2023 22:52:22,สำเร็จ,Portal สปส.
123,numberone,number one,17/07/2023 22:50:25,สำเร็จ,Portal สปส.
124,numberone,number one,17/07/2023 22:47:30,สำเร็จ,Portal สปส.
125,numberone,number one,17/07/2023 22:45:17,สำเร็จ,Portal สปส.
126,numberone,number one,17/07/2023 22:39:51,สำเร็จ,Portal สปส.
127,numberone,number one,17/07/2023 22:38:35,สำเร็จ,Portal สปส.
128,numberone,number one,17/07/2023 22:34:45,สำเร็จ,Portal สปส.
129,numberone,number one,17/07/2023 22:25:57,สำเร็จ,Portal สปส.
130,numberone,number one,17/07/2023 22:19:10,สำเร็จ,Portal สปส.
131,numberone,number one,17/07/2023 22:17:31,สำเร็จ,Portal สปส.
132,numberone,number one,17/07/2023 21:53:18,สำเร็จ,Portal สปส.
133,numberone,number one,17/07/2023 21:51:18,สำเร็จ,Portal สปส.
134,numberone,number one,17/07/2023 21:45:12,สำเร็จ,Portal สปส.
135,numberone,number one,17/07/2023 21:39:35,สำเร็จ,Portal สปส.
136,numberone,number one,17/07/2023 21:23:43,สำเร็จ,Portal สปส.
137,ggwp,man asdf1223,17/07/2023 21:17:19,สำเร็จ,Portal รพ.
138,numberone,number one,17/07/2023 21:15:38,สำเร็จ,Portal สปส.
139,numberone,number one,17/07/2023 20:57:57,สำเร็จ,Portal สปส.
140,ggwp,man asdf1223,17/07/2023 18:07:22,สำเร็จ,Portal รพ.
141,numberone,number one,17/07/2023 17:43:11,สำเร็จ,Portal สปส.
142,numberone,number one,17/07/2023 17:38:05,สำเร็จ,Portal สปส.
143,numberone,number one,17/07/2023 17:35:46,สำเร็จ,Portal สปส.
144,numberone,number one,17/07/2023 17:34:08,สำเร็จ,Portal สปส.
145,numberone,number one,17/07/2023 17:30:10,สำเร็จ,Portal สปส.
146,numberone,number one,17/07/2023 17:24:47,สำเร็จ,Portal สปส.
147,ggwp,man asdf1223,17/07/2023 17:17:43,สำเร็จ,Portal รพ.
148,numberone,number one,17/07/2023 17:06:11,สำเร็จ,Portal สปส.
149,numberone,number one,17/07/2023 17:00:18,สำเร็จ,Portal สปส.
150,numberone,number one,17/07/2023 16:54:33,สำเร็จ,Portal สปส.
151,numberone,number one,17/07/2023 16:13:00,สำเร็จ,Portal สปส.
152,numberone,number one,17/07/2023 16:09:52,สำเร็จ,Portal สปส.
153,numberone,number one,17/07/2023 16:08:08,สำเร็จ,Portal สปส.
154,numberone,number one,17/07/2023 15:56:46,สำเร็จ,Portal สปส.
155,numberone,number one,17/07/2023 15:53:29,สำเร็จ,Portal สปส.
156,numberone,number one,17/07/2023 15:43:45,สำเร็จ,Portal สปส.
157,numberone,number one,17/07/2023 15:41:09,สำเร็จ,Portal สปส.
158,ggwp,man asdf1223,17/07/2023 15:38:32,สำเร็จ,Portal รพ.
159,ggwp,man asdf1223,17/07/2023 15:36:32,สำเร็จ,Portal รพ.
160,ggwp,man asdf1223,17/07/2023 15:34:11,สำเร็จ,Portal รพ.
161,numberone,number one,17/07/2023 15:29:30,สำเร็จ,Portal สปส.
162,numberone,number one,17/07/2023 15:26:14,สำเร็จ,Portal สปส.
163,numberone,number one,17/07/2023 15:22:20,สำเร็จ,Portal สปส.
164,numberone,number one,17/07/2023 15:22:18,สำเร็จ,Portal สปส.
165,ggwp,man asdf1223,17/07/2023 15:21:47,สำเร็จ,Portal รพ.
166,ggwp,man asdf1223,17/07/2023 15:09:21,สำเร็จ,Portal รพ.
167,numberone,number one,17/07/2023 15:06:54,สำเร็จ,Portal สปส.
168,ggwp,man asdf1223,17/07/2023 15:05:23,สำเร็จ,Portal รพ.
169,numberone,number one,17/07/2023 15:05:00,สำเร็จ,Portal สปส.
170,ggwp,man asdf1223,17/07/2023 15:04:35,สำเร็จ,Portal รพ.
171,numberone,number one,17/07/2023 15:04:28,สำเร็จ,Portal สปส.
172,numberone,number one,17/07/2023 15:02:29,สำเร็จ,Portal สปส.
173,numberone,number one,17/07/2023 15:02:03,สำเร็จ,Portal สปส.
174,numberone,number one,17/07/2023 14:58:12,สำเร็จ,Portal สปส.
175,numberone,number one,17/07/2023 14:57:43,สำเร็จ,Portal สปส.
176,numberone,number one,17/07/2023 14:56:53,สำเร็จ,Portal สปส.
177,1000000001.admin,ชัยนาม ดู่คำ,17/07/2023 14:51:11,สำเร็จ,Portal รพ.
178,ggwp,man asdf1223,17/07/2023 14:30:21,สำเร็จ,Portal รพ.
179,numberone,number one,17/07/2023 14:29:12,สำเร็จ,Portal สปส.
180,numberone,number one,17/07/2023 14:28:53,สำเร็จ,Portal สปส.
181,ggwp,man asdf1223,17/07/2023 14:21:49,สำเร็จ,Portal รพ.
182,numberone,number one,17/07/2023 14:21:31,สำเร็จ,Portal สปส.
183,numberone,number one,17/07/2023 14:21:25,สำเร็จ,Portal สปส.
184,numberone,number one,17/07/2023 14:20:39,สำเร็จ,Portal สปส.
185,numberone,number one,17/07/2023 14:19:18,สำเร็จ,Portal สปส.
186,numberone,number one,17/07/2023 14:17:22,สำเร็จ,Portal สปส.
187,numberone,number one,17/07/2023 14:12:41,สำเร็จ,Portal สปส.
188,ggwp,man asdf1223,17/07/2023 14:09:05,สำเร็จ,Portal รพ.
189,numberone,number one,17/07/2023 14:08:45,สำเร็จ,Portal สปส.
190,ggwp,man asdf1223,17/07/2023 13:59:35,สำเร็จ,Portal รพ.
191,numberone,number one,17/07/2023 13:56:18,สำเร็จ,Portal สปส.
192,ggwp,man asdf1223,17/07/2023 13:55:52,สำเร็จ,Portal รพ.
193,ggwp,man asdf1223,17/07/2023 13:51:05,สำเร็จ,Portal รพ.
194,ggwp,man asdf1223,17/07/2023 13:47:40,สำเร็จ,Portal รพ.
195,ggwp,man asdf1223,17/07/2023 13:46:23,สำเร็จ,Portal รพ.
196,ggwp,man asdf1223,17/07/2023 13:45:00,สำเร็จ,Portal รพ.
197,ggwp,man asdf1223,17/07/2023 13:39:11,สำเร็จ,Portal รพ.
198,numberone,number one,17/07/2023 13:37:01,สำเร็จ,Portal สปส.
199,ggwp,man asdf1223,17/07/2023 13:36:20,สำเร็จ,Portal รพ.
200,ggwp,man asdf1223,17/07/2023 13:33:19,สำเร็จ,Portal รพ.
201,numberone,number one,17/07/2023 13:31:32,สำเร็จ,Portal สปส.
202,oper1,สมศรี ใจดี,17/07/2023 13:30:45,สำเร็จ,Portal รพ.
203,ggwp,man asdf1223,17/07/2023 13:30:34,สำเร็จ,Portal รพ.
204,ggwp,man asdf1223,17/07/2023 12:41:06,สำเร็จ,Portal รพ.
205,ggwp,man asdf1223,17/07/2023 12:30:43,สำเร็จ,Portal รพ.
206,ggwp,man asdf1223,17/07/2023 12:15:06,สำเร็จ,Portal รพ.
207,ggwp,man asdf1223,17/07/2023 12:05:32,สำเร็จ,Portal รพ.
208,ggwp,man asdf1223,17/07/2023 12:00:55,สำเร็จ,Portal รพ.
209,ggwp,man asdf1223,17/07/2023 11:55:05,สำเร็จ,Portal รพ.
210,ggwp,man asdf1223,17/07/2023 11:37:38,สำเร็จ,Portal รพ.
211,numberone,number one,17/07/2023 11:35:31,สำเร็จ,Portal สปส.
212,ggwp,man asdf1223,17/07/2023 11:34:31,สำเร็จ,Portal รพ.
213,ggwp,man asdf1223,17/07/2023 11:30:21,สำเร็จ,Portal รพ.
214,ggwp,man asdf1223,17/07/2023 11:28:37,สำเร็จ,Portal รพ.
215,ggwp,man asdf1223,17/07/2023 11:27:42,สำเร็จ,Portal รพ.
216,numberone,number one,17/07/2023 11:26:36,สำเร็จ,Portal สปส.
