ลำดับ,Username,ชื่อ-นามสกุล,วันเวลาที่เข้าสู่ระบบ,สถานะ,ช่องทาง
1,numberone,number one,20/07/2023 16:51:24,สำเร็จ,Portal สปส.
2,ggwp,man asdf1223,20/07/2023 16:45:02,สำเร็จ,Portal รพ.
3,ggwp,man asdf1223,20/07/2023 16:41:39,สำเร็จ,Portal รพ.
4,ggwp,man asdf1223,20/07/2023 16:31:55,สำเร็จ,Portal รพ.
5,ggwp,man asdf1223,20/07/2023 16:26:23,สำเร็จ,Portal รพ.
6,ggwp,man asdf1223,20/07/2023 16:24:40,สำเร็จ,Portal รพ.
7,ggwp,man asdf1223,20/07/2023 16:18:25,สำเร็จ,Portal รพ.
8,ggwp,man asdf1223,20/07/2023 16:17:04,สำเร็จ,Portal รพ.
9,numberone,number one,20/07/2023 16:17:00,สำเร็จ,Portal สปส.
10,ggwp,man asdf1223,20/07/2023 16:14:30,สำเร็จ,Portal รพ.
11,numberone,number one,20/07/2023 16:02:49,สำเร็จ,Portal สปส.
12,numberone,number one,20/07/2023 15:42:32,สำเร็จ,Portal สปส.
13,ggwp,man asdf1223,20/07/2023 15:39:42,สำเร็จ,Portal รพ.
14,numberone,number one,20/07/2023 15:37:44,สำเร็จ,Portal สปส.
15,numberone,number one,20/07/2023 15:34:06,สำเร็จ,Portal สปส.
16,numberone,number one,20/07/2023 15:33:51,สำเร็จ,
17,numberone,number one,20/07/2023 15:33:05,สำเร็จ,Portal สปส.
18,numberone," ",20/07/2023 15:29:28,สำเร็จ,
19,numberone,number one,20/07/2023 15:28:12,สำเร็จ,Portal สปส.
20,numberone,number one,20/07/2023 15:28:06,สำเร็จ,Portal สปส.
21,numberone,number one,20/07/2023 15:28:00,สำเร็จ,Portal สปส.
22,numberone,number one,20/07/2023 15:26:37,สำเร็จ,Portal สปส.
23,numberone," ",20/07/2023 15:26:33,สำเร็จ,
24,numberone,number one,20/07/2023 15:24:41,สำเร็จ,Portal สปส.
25,numberone,number one,20/07/2023 15:21:06,สำเร็จ,Portal สปส.
26,numberone,number one,20/07/2023 15:19:51,สำเร็จ,Portal สปส.
27,ggwp,man asdf1223,20/07/2023 15:17:36,สำเร็จ,
28,numberone,number one,20/07/2023 15:16:54,สำเร็จ,Portal สปส.
29,ggwp,man asdf1223,20/07/2023 15:16:11,สำเร็จ,
30,numberone,number one,20/07/2023 15:13:08,สำเร็จ,Portal สปส.
31,numberone,number one,20/07/2023 15:11:11,สำเร็จ,Portal สปส.
32,numberone," ",20/07/2023 15:07:36,สำเร็จ,
33,ggwp,man asdf1223,20/07/2023 15:06:41,สำเร็จ,Portal รพ.
34,numberone," ",20/07/2023 15:06:14,สำเร็จ,
35,numberone,number one,20/07/2023 15:04:57,สำเร็จ,Portal สปส.
36,numberone,number one,20/07/2023 14:58:45,สำเร็จ,Portal สปส.
37,ggwp,man asdf1223,20/07/2023 14:20:04,สำเร็จ,Portal รพ.
38,ggwp,man asdf1223,20/07/2023 14:16:25,สำเร็จ,Portal รพ.
39,ggwp,man asdf1223,20/07/2023 14:11:44,สำเร็จ,Portal รพ.
40,ggwp,man asdf1223,20/07/2023 14:10:18,สำเร็จ,Portal รพ.
41,ggwp,man asdf1223,20/07/2023 14:08:06,สำเร็จ,Portal รพ.
42,numberone,number one,20/07/2023 13:58:40,สำเร็จ,Portal สปส.
43,numberone,number one,20/07/2023 13:54:55,สำเร็จ,Portal สปส.
44,numberone,number one,20/07/2023 13:48:05,สำเร็จ,Portal สปส.
45,numberone,number one,20/07/2023 13:47:57,สำเร็จ,Portal สปส.
46,ggwp,man asdf1223,20/07/2023 13:43:46,สำเร็จ,Portal รพ.
47,ggwp,man asdf1223,20/07/2023 13:40:50,สำเร็จ,Portal รพ.
48,ggwp,man asdf1223,20/07/2023 13:39:29,สำเร็จ,Portal รพ.
49,ggwp,man asdf1223,20/07/2023 13:28:36,สำเร็จ,Portal รพ.
50,2100000000.admin,พนลๆยไบ พนลๆยไบ,20/07/2023 12:03:26,สำเร็จ,Portal รพ.
51,ggwp,man asdf1223,20/07/2023 11:58:28,สำเร็จ,Portal รพ.
52,numberone,number one,20/07/2023 11:52:54,สำเร็จ,Portal สปส.
53,numberone,number one,20/07/2023 11:50:28,สำเร็จ,Portal สปส.
54,numberone,number one,20/07/2023 11:46:48,สำเร็จ,Portal สปส.
55,numberone,number one,20/07/2023 11:40:02,สำเร็จ,Portal สปส.
56,numberone,number one,20/07/2023 11:39:42,สำเร็จ,Portal สปส.
57,numberone,number one,20/07/2023 11:29:21,สำเร็จ,Portal สปส.
58,numberone,number one,20/07/2023 11:25:45,สำเร็จ,Portal สปส.
59,numberone,number one,20/07/2023 11:22:29,สำเร็จ,Portal สปส.
60,numberone,number one,20/07/2023 11:21:17,สำเร็จ,Portal สปส.
61,numberone,number one,20/07/2023 11:19:07,สำเร็จ,Portal สปส.
62,numberone,number one,20/07/2023 11:18:50,สำเร็จ,Portal สปส.
63,numberone,number one,20/07/2023 11:16:43,สำเร็จ,Portal สปส.
64,numberone,number one,20/07/2023 11:16:40,สำเร็จ,Portal สปส.
65,numberone,number one,20/07/2023 11:15:41,สำเร็จ,Portal สปส.
66,numberone,number one,20/07/2023 11:15:05,สำเร็จ,Portal สปส.
67,numberone,number one,20/07/2023 11:14:40,สำเร็จ,Portal สปส.
68,numberone,number one,20/07/2023 11:14:32,สำเร็จ,Portal สปส.
69,numberone,number one,20/07/2023 11:14:07,สำเร็จ,Portal สปส.
70,numberone,number one,20/07/2023 11:11:48,สำเร็จ,Portal สปส.
71,numberone,number one,20/07/2023 11:09:23,สำเร็จ,Portal สปส.
72,numberone,number one,20/07/2023 10:56:57,สำเร็จ,Portal สปส.
73,numberone,number one,20/07/2023 10:55:25,สำเร็จ,Portal สปส.
74,numberone,number one,20/07/2023 10:49:15,สำเร็จ,Portal สปส.
75,numberone,number one,20/07/2023 10:42:34,สำเร็จ,Portal สปส.
76,numberone,number one,20/07/2023 10:29:06,สำเร็จ,Portal สปส.
77,numberone,number one,20/07/2023 10:16:29,สำเร็จ,Portal สปส.
78,numberone,number one,20/07/2023 10:05:46,สำเร็จ,Portal สปส.
79,numberone,number one,20/07/2023 10:03:54,สำเร็จ,Portal สปส.
80,numberone,number one,20/07/2023 10:00:28,สำเร็จ,Portal สปส.
81,numberone,number one,20/07/2023 09:58:41,สำเร็จ,Portal สปส.
82,numberone,number one,20/07/2023 09:56:30,สำเร็จ,Portal สปส.
83,numberone,number one,20/07/2023 09:54:42,สำเร็จ,Portal สปส.
84,numberone,number one,20/07/2023 09:52:46,สำเร็จ,Portal สปส.
85,ggwp,man asdf1223,20/07/2023 09:30:08,สำเร็จ,Portal รพ.
86,oper1,สมศรี ใจดี,20/07/2023 09:28:34,สำเร็จ,Portal รพ.
87,numberone,number one,20/07/2023 09:20:25,สำเร็จ,Portal สปส.
88,ggwp,man asdf1223,20/07/2023 09:20:13,สำเร็จ,Portal รพ.
89,numberone,number one,20/07/2023 09:18:04,สำเร็จ,
90,numberone,number one,20/07/2023 09:18:04,สำเร็จ,
91,001000500.admin,สมบัติ บัวสิงห์,20/07/2023 09:17:51,สำเร็จ,Portal รพ.
92,numberone,number one,20/07/2023 09:17:38,สำเร็จ,
93,numberone,number one,20/07/2023 09:17:38,สำเร็จ,
94,numberone,number one,20/07/2023 09:16:41,สำเร็จ,
95,numberone,number one,20/07/2023 09:16:40,สำเร็จ,
96,numberone,number one,20/07/2023 09:16:22,สำเร็จ,Portal สปส.
97,numberone,number one,20/07/2023 09:15:12,สำเร็จ,Portal สปส.
98,numberone,number one,20/07/2023 09:12:18,สำเร็จ,Portal สปส.
99,numberone,number one,20/07/2023 09:08:29,สำเร็จ,Portal สปส.
100,numberone,number one,20/07/2023 09:01:17,สำเร็จ,Portal สปส.
101,numberone,number one,20/07/2023 09:00:54,สำเร็จ,
102,numberone,number one,20/07/2023 08:55:43,สำเร็จ,Portal สปส.
103,numberone,number one,20/07/2023 08:53:13,สำเร็จ,
104,numberone,number one,20/07/2023 08:49:03,สำเร็จ,
105,numberone,number one,20/07/2023 08:47:44,สำเร็จ,
106,numberone,number one,20/07/2023 08:47:26,สำเร็จ,
107,numberone,number one,20/07/2023 08:43:44,สำเร็จ,
108,numberone,number one,20/07/2023 08:43:37,สำเร็จ,
109,numberone,number one,20/07/2023 08:43:01,สำเร็จ,
110,numberone,number one,20/07/2023 08:42:28,สำเร็จ,Portal สปส.
111,numberone,number one,20/07/2023 08:38:03,สำเร็จ,Portal สปส.
