ลำดับ,Username,ชื่อ-นามสกุล,วันเวลาที่เข้าสู่ระบบ,สถานะ,ช่องทาง
1,numberone,number one,02/08/2023 15:51:07,สำเร็จ,Portal สปส.
2,numberone,number one,02/08/2023 15:40:54,สำเร็จ,Portal สปส.
3,numberone,number one,02/08/2023 15:37:04,สำเร็จ,Portal สปส.
4,numberone,number one,02/08/2023 15:33:37,สำเร็จ,Portal สปส.
5,numberone,number one,02/08/2023 15:27:12,สำเร็จ,Portal สปส.
6,numberone,number one,02/08/2023 15:22:57,สำเร็จ,Portal สปส.
7,numberone,number one,02/08/2023 14:55:55,สำเร็จ,Portal สปส.
8,numberone,number one,02/08/2023 14:53:24,สำเร็จ,Portal สปส.
9,numberone,number one,02/08/2023 14:50:50,สำเร็จ,Portal สปส.
10,numberone,number one,02/08/2023 14:42:02,สำเร็จ,Portal สปส.
11,oper1,สมศรี ใจดี,02/08/2023 14:33:15,สำเร็จ,Portal รพ.
12,oper1,สมศรี ใจดี,02/08/2023 14:08:54,สำเร็จ,Portal รพ.
13,numberone,number one,02/08/2023 13:31:10,สำเร็จ,Portal สปส.
14,numberone,number one,02/08/2023 13:28:04,สำเร็จ,Portal สปส.
15,numberone,number one,02/08/2023 13:26:55,สำเร็จ,Portal สปส.
16,numberone,number one,02/08/2023 13:23:18,สำเร็จ,Portal สปส.
17,numberone,number one,02/08/2023 13:21:08,สำเร็จ,Portal สปส.
18,numberone,number one,02/08/2023 13:17:57,สำเร็จ,Portal สปส.
19,numberone,number one,02/08/2023 13:08:12,สำเร็จ,Portal สปส.
20,numberone,number one,02/08/2023 12:07:56,สำเร็จ,Portal สปส.
21,numberone,number one,02/08/2023 12:01:06,สำเร็จ,Portal สปส.
22,numberone,number one,02/08/2023 11:41:41,สำเร็จ,Portal สปส.
23,numberone,number one,02/08/2023 11:34:26,สำเร็จ,Portal สปส.
24,oper2,oper2 oper2,02/08/2023 11:22:04,สำเร็จ,Portal รพ.
25,oper1,สมศรี ใจดี,02/08/2023 11:18:15,สำเร็จ,Portal รพ.
26,numberone,number one,02/08/2023 11:12:55,สำเร็จ,Portal สปส.
27,numberone,number one,02/08/2023 11:12:28,สำเร็จ,Portal สปส.
28,numberone,number one,02/08/2023 11:09:39,สำเร็จ,Portal สปส.
29,ggwp,man asdf1223,02/08/2023 11:09:26,สำเร็จ,Portal รพ.
30,ggwp,man asdf1223,02/08/2023 11:02:34,สำเร็จ,Portal รพ.
31,numberone,number one,02/08/2023 10:59:33,สำเร็จ,Portal สปส.
32,ggwp,man asdf1223,02/08/2023 10:52:57,สำเร็จ,Portal รพ.
33,numberone,number one,02/08/2023 10:48:42,สำเร็จ,Portal สปส.
34,ggwp,man asdf1223,02/08/2023 10:44:01,สำเร็จ,Portal รพ.
35,ggwp,man asdf1223,02/08/2023 10:43:25,สำเร็จ,Portal รพ.
36,numberone,number one,02/08/2023 10:42:58,สำเร็จ,Portal สปส.
37,ggwp,man asdf1223,02/08/2023 10:39:19,สำเร็จ,Portal รพ.
38,numberone,number one,02/08/2023 10:39:17,สำเร็จ,Portal สปส.
39,numberone,number one,02/08/2023 10:35:04,สำเร็จ,Portal สปส.
40,numberone,number one,02/08/2023 10:30:30,สำเร็จ,Portal สปส.
41,ggwp,man asdf1223,02/08/2023 10:20:25,สำเร็จ,Portal รพ.
42,numberone,number one,02/08/2023 10:17:51,สำเร็จ,Portal สปส.
43,numberone,number one,02/08/2023 10:16:59,สำเร็จ,Portal สปส.
44,numberone,number one,02/08/2023 10:15:38,สำเร็จ,Portal สปส.
45,numberone,number one,02/08/2023 10:14:39,สำเร็จ,Portal สปส.
46,numberone,number one,02/08/2023 10:08:23,สำเร็จ,Portal สปส.
47,ggwp,man asdf1223,02/08/2023 10:07:04,สำเร็จ,Portal รพ.
48,ggwp,man asdf1223,02/08/2023 10:05:06,สำเร็จ,Portal รพ.
49,numberone,number one,02/08/2023 10:04:53,สำเร็จ,Portal สปส.
50,numberone,number one,02/08/2023 09:45:46,สำเร็จ,Portal สปส.
51,numberone,number one,02/08/2023 09:43:40,สำเร็จ,Portal สปส.
52,ggwp,man asdf1223,02/08/2023 09:21:28,สำเร็จ,Portal รพ.
53,ggwp,man asdf1223,02/08/2023 09:18:11,สำเร็จ,Portal รพ.
54,numberone,number one,02/08/2023 08:51:39,สำเร็จ,
55,numberone,number one,02/08/2023 08:51:35,สำเร็จ,
56,numberone,number one,02/08/2023 08:51:32,สำเร็จ,
57,numberone,number one,02/08/2023 08:51:30,สำเร็จ,
58,numberone,number one,02/08/2023 08:51:28,สำเร็จ,
59,numberone,number one,02/08/2023 08:51:27,สำเร็จ,
60,numberone,number one,02/08/2023 08:51:26,สำเร็จ,
61,numberone,number one,02/08/2023 08:51:25,สำเร็จ,
62,numberone,number one,02/08/2023 08:51:24,สำเร็จ,
63,numberone,number one,02/08/2023 08:51:23,สำเร็จ,
64,numberone,number one,02/08/2023 08:51:23,สำเร็จ,
65,numberone,number one,02/08/2023 08:51:20,สำเร็จ,
66,numberone,number one,02/08/2023 08:51:19,สำเร็จ,
67,numberone,number one,02/08/2023 08:51:17,สำเร็จ,
68,numberone,number one,02/08/2023 08:51:17,สำเร็จ,
69,numberone,number one,02/08/2023 08:51:16,สำเร็จ,
70,numberone,number one,02/08/2023 08:51:09,สำเร็จ,
71,numberone,number one,02/08/2023 08:51:08,สำเร็จ,
72,numberone,number one,02/08/2023 08:51:07,สำเร็จ,
73,numberone,number one,02/08/2023 08:51:02,สำเร็จ,
74,numberone,number one,02/08/2023 08:51:00,สำเร็จ,
75,numberone,number one,02/08/2023 08:50:59,สำเร็จ,
76,numberone,number one,02/08/2023 08:50:58,สำเร็จ,
77,numberone,number one,02/08/2023 08:50:57,สำเร็จ,
78,numberone,number one,02/08/2023 08:50:52,สำเร็จ,
79,numberone,number one,02/08/2023 08:50:52,สำเร็จ,
80,numberone,number one,02/08/2023 08:50:44,สำเร็จ,
81,numberone,number one,02/08/2023 08:50:44,สำเร็จ,
82,numberone,number one,02/08/2023 08:50:43,สำเร็จ,
83,numberone,number one,02/08/2023 08:50:42,สำเร็จ,
84,numberone,number one,02/08/2023 08:50:29,สำเร็จ,
85,numberone,number one,02/08/2023 08:50:22,สำเร็จ,
86,numberone,number one,02/08/2023 08:50:20,สำเร็จ,
87,ggwp,man asdf1223,02/08/2023 08:49:31,สำเร็จ,Portal รพ.
88,numberone,number one,02/08/2023 08:49:11,สำเร็จ,
89,numberone,number one,02/08/2023 08:49:07,สำเร็จ,
90,numberone,number one,02/08/2023 08:49:05,สำเร็จ,
91,numberone,number one,02/08/2023 08:49:04,สำเร็จ,
92,numberone,number one,02/08/2023 08:49:01,สำเร็จ,
93,numberone,number one,02/08/2023 08:49:00,สำเร็จ,
94,numberone,number one,02/08/2023 08:48:59,สำเร็จ,
95,numberone,number one,02/08/2023 08:48:58,สำเร็จ,
96,numberone,number one,02/08/2023 08:48:58,สำเร็จ,
97,numberone,number one,02/08/2023 08:48:57,สำเร็จ,
98,numberone,number one,02/08/2023 08:48:57,สำเร็จ,
99,numberone,number one,02/08/2023 08:48:53,สำเร็จ,
100,numberone,number one,02/08/2023 08:48:52,สำเร็จ,
101,numberone,number one,02/08/2023 08:48:39,สำเร็จ,
102,numberone,number one,02/08/2023 08:48:33,สำเร็จ,
103,numberone,number one,02/08/2023 08:48:33,สำเร็จ,
104,numberone,number one,02/08/2023 08:48:21,สำเร็จ,
105,numberone,number one,02/08/2023 08:48:21,สำเร็จ,
106,numberone,number one,02/08/2023 08:48:20,สำเร็จ,
107,numberone,number one,02/08/2023 08:48:17,สำเร็จ,
108,numberone,number one,02/08/2023 08:48:08,สำเร็จ,
109,numberone,number one,02/08/2023 08:48:03,สำเร็จ,
110,numberone,number one,02/08/2023 08:48:02,สำเร็จ,
111,numberone,number one,02/08/2023 08:48:01,สำเร็จ,
112,numberone,number one,02/08/2023 08:47:59,สำเร็จ,
113,ggwp,man asdf1223,02/08/2023 08:47:58,สำเร็จ,Portal รพ.
114,numberone,number one,02/08/2023 08:47:52,สำเร็จ,
115,numberone,number one,02/08/2023 08:47:52,สำเร็จ,
116,numberone,number one,02/08/2023 08:47:47,สำเร็จ,
117,numberone,number one,02/08/2023 08:47:41,สำเร็จ,
118,numberone,number one,02/08/2023 08:47:08,สำเร็จ,
119,numberone,number one,02/08/2023 08:47:04,สำเร็จ,
120,numberone,number one,02/08/2023 08:47:02,สำเร็จ,
121,numberone,number one,02/08/2023 08:46:44,สำเร็จ,
122,numberone,number one,02/08/2023 08:45:56,สำเร็จ,
123,numberone,number one,02/08/2023 08:45:53,สำเร็จ,
124,numberone,number one,02/08/2023 08:45:51,สำเร็จ,
125,numberone,number one,02/08/2023 08:45:50,สำเร็จ,
126,numberone,number one,02/08/2023 08:45:47,สำเร็จ,
127,numberone,number one,02/08/2023 08:45:43,สำเร็จ,
128,numberone,number one,02/08/2023 08:45:42,สำเร็จ,
129,numberone,number one,02/08/2023 08:45:42,สำเร็จ,
130,numberone,number one,02/08/2023 08:45:40,สำเร็จ,
131,numberone,number one,02/08/2023 08:45:37,สำเร็จ,
132,numberone,number one,02/08/2023 08:45:32,สำเร็จ,
133,numberone,number one,02/08/2023 08:44:29,สำเร็จ,
134,numberone,number one,02/08/2023 08:43:41,สำเร็จ,
135,numberone,number one,02/08/2023 08:43:39,สำเร็จ,
136,numberone,number one,02/08/2023 08:43:15,สำเร็จ,Portal สปส.
137,numberone,number one,02/08/2023 08:42:32,สำเร็จ,
138,numberone,number one,02/08/2023 08:42:21,สำเร็จ,
